Name,Address,Phone,Latitude,Longitude
PGD Thanh Đa,"667 Xô Viết Nghệ Tĩnh, Phường 26, Quận Bình Thạnh, Thành phố Hồ Chí Minh",Tel: (028) 3899 8153,10.811993,106.7147
CN Lãnh Binh Thăng,"449-451 Lý Thường Kiệt, phường 8, Quận Tân Bình, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028)3868 7770  - Fax: (028)3868 7773,10.785846,106.65383
PGD Lạc Long Quân,"593 Bình Thới, Phường 10, Quận 11, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028)39637053  - Fax: (028)39637054,10.762844,106.6408
PGD Minh Phụng,"169-171 Minh Phụng, Phường 9, Quận 6, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 39699 880  - Fax: (028) 39699 882,10.752737,106.64279
PGD Hòa Hưng,"459 Sư Vạn Hạnh, Phường 12, Quận 10, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 3868 3230  - Fax: (028) 3868 3228,10.773626,106.66705
CN Nguyễn Trãi,"207-209 Nguyễn Trãi, Phường 2, Quận 5, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (08)38363522  - Fax: (08)39234679,10.756722,106.67749
PGD Ngô Gia Tự,"187 Ngô Gia Tự, phường 2, Quận 10, Thành phố Hồ Chí Minh, Việt Nam (Tầng 1, tầng 2, tầng 3, tầng 4)",Tel: (028) 3927 3606  - Fax: (028) 3927 3605,10.76455,106.6722
PGD Nam Sài Gòn,"930A và 930B đường Tạ Quang Bửu, khu dân cư Bùi Minh Trực III, Phường 5, Quận 8, Thành phố Hồ Chí Minh.",Tel: (028) 73083 338,10.734366,106.65791
PGD Nguyễn Văn Cừ,"118-120, Đường Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 39 208 525  - Fax: (028)39 208 524,10.758597,106.68449
PGD Cây Gõ (PGD Kinh Dương Vương cũ),"1172C Đường 3 tháng 2, Phường 12, Quận 11, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 54 062 962  - Fax: (028) 54 062 961,10.759278,106.65126
CN Vạn Hạnh,"374-374B Võ Văn Tần, Phường 5, Quận 3, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028)38181222  - Fax: (08)38683040,10.770613,106.6845
PGD Tây Sài Gòn (Phú Lâm cũ),"258 đường Vành Đai Trong, Phường Bình Trị Đông B, Quận Bình Tân, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (08)37522054  - Fax: (08)37520055,10.753148,106.61555
PGD Nguyễn Hữu Thọ (Bình Hưng cũ),"Số 45, Khu Dân cư Phú Long, Phân Khu số 5, đường Nguyễn Hữu Thọ, xã Phước Kiển, huyện Nhà Bè, TP.HCM",Tel: (028) 36 291 199,10.731064,106.65394
PGD Thái Sơn,"222 Nguyễn Thái Sơn, Phường 4, Quận Gò Vấp, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 39940 295  - Fax: (028) 39940 296,10.820153,106.683205
PGD Lê Văn Sỹ,"185 B-C Đường Lê Văn Sỹ, Phường 14, Quận Phú Nhuận, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 39918 984  - Fax: (028) 39918 983,10.792511,106.67038
CN Cộng Hòa,"18E Cộng Hòa, Phường 04, Quận Tân Bình, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028)36298899  - Fax: (028)38123749,10.801529,106.654045
PGD Nguyễn Oanh,"255 A26 Nguyễn Văn Lượng, Phường 10, Quận Gò Vấp, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (08)39897270  - Fax: (08)39897271,10.83872,106.67205
PGD Tân Phú,"21A Gò Dầu, Phường Tân Quý, Quận Tân Phú , Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 38473 270  - Fax: (028) 38473 271,10.795402,106.628494
PGD Âu Cơ,"516 Âu Cơ, Phường 10, Quận Tân Bình, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (0283) 975 3565  - Fax: (0283) 975 3565,10.780189,106.64209
PGD Duy Tân,"69 Phạm Ngọc Thạch, Phường 6, Quận 3, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028)38202850  - Fax: (028)38202845,10.786451,106.691414
PGD Nguyễn Văn Quá (Trường Chinh cũ),"Số 410A đường Nguyễn Văn Quá, phường Đông Hưng Thuận, quận 12, TP.HCM",Tel: (028) 35 921 838  - Fax: (028) 35921 839,10.837358,106.629364
CN TP.Hồ Chí Minh,"159 A-B Lê Đại Hành, Phường 13, Quận 11, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 39626 779  - Fax: (028) 39753 641,10.762784,106.65652
PGD Phan Văn Trị (Phú Thọ cũ),"Số 561 Phan Văn Trị, phường 5, quận Gò Vấp, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 3985 6779  - Fax: (028) 3985 6780,10.825624,106.69
PGD Nguyễn Ảnh Thủ,"2C, 12C, 14C, 1515A Nguyễn Ảnh Thủ, Khu Phố 3, Phường. Trung Mỹ Tây, Quận 12, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (0283) 718 6348  - Fax: (028) 37186 350,10.856638,106.60818
PGD Nguyễn Sơn,"238 Nguyễn Sơn, Phường Phú Thọ Hòa, Quận Tân Phú, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 39721 950  - Fax: (028) 39721 949,10.782928,106.62462
PGD Lê Trọng Tấn,"445-445A Lê Trọng Tấn, P. Sơn Kỳ, Quận Tân Phú, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 73 069939  - Fax: (028) 38 161850,10.807507,106.6225
PGD TP. Thủ Đức,"199 Đường Lê Văn Việt, Phường Hiệp Phú, TP. Thủ Đức, TP.HCM",Tel: (028) 3736 0886,10.844072,106.78243
PGD Nguyễn Duy Trinh,"201 Nguyễn Duy Trinh, Phường Bình Trưng Tây, TP.Thủ Đức, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 7302 8998  - Fax:  (028) 62 807 021,10.788371,106.76344
PGD Linh Đông,"226 Tô Ngọc Vân, Phường Linh Đông, Thành phố Thủ Đức, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 37206 401  - Fax: (028) 37206 403,10.857462,106.74734
PGD Thảo Điền (Cát Lái cũ),"Số 08 đường Nguyễn Văn Hưởng , Phường Thảo Điền, TP. Thủ Đức, TP. Hồ Chí Minh (một phần tầng trệt, 1 phần tầng 1, toàn bộ tầng 2).",Tel: (0287) 300 3696  - Fax: (0287) 300 3696,10.805925,106.7259
PGD Phước Long,"274 - 276 Đỗ Xuân Hợp, Phường Phước Long A, Thành phố Thủ Đức (Q.9 cũ), Hồ Chí Minh, Việt Nam",Tel: (028) 3629 6699  - Fax: (028) 6282 6317,10.812617,106.77573
PGD Đông Sài Gòn,"280 đường Trần Não, Khu phố 2,  Phường An Khánh, TP. Thủ Đức, Thành phố Hồ Chí Minh",Tel: (028) 3740 7047  - Fax: (028) 3740 2976,10.796132,106.73413
CN Nguyễn Đình Chiểu,"Số 58 Nguyễn Đình Chiểu, P. Đa Kao, Quận 1, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 6.2666.111  - Fax: (028) 6.2918.302,10.789145,106.6999
CN Hàng Xanh,"M03, M04, tầng lửng, văn phòng số 101, 102, 103, 104, tòa nhà Broadcast Điện Biên Phủ, Phường 15, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 35128 644  - Fax: (028) 35123 296,10.795882,106.700966
PGD Gò Vấp,"871 Quang Trung, Phường 12, Quận Gò Vấp, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 39872 826  - Fax: (028) 38312 300,10.843727,106.63884
PGD Củ Chi (Bình Chiểu cũ),"Số 35-37, tỉnh lộ 8, Khu phố 1, thị trấn Củ Chi, huyên Củ Chi, Thành phố Hồ Chí Minh",Tel: (028) 73 060 679  - Fax: (028) 54492 492,10.970484,106.48939
PGD Nguyễn Thị Định,"519 Nguyễn Thị Định, Khu Phố 1, Phường Cát Lái, TP. Thủ Đức, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (0285) 402 7812  - Fax: (0285) 402 7812,10.7789,106.76346
PGD Hoàng Diệu,"1 Đinh Lễ, Phường 12, Quận 4, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 73088 688  - Fax: (028) 39435 681,10.757222,106.70019
PGD Bình Thọ,"100B Đặng Văn Bi, Phường Bình Thọ,  Thành phố Thủ Đức (Q. Thủ Đức cũ),  Thành phố Hồ Chí Minh",Tel: (028) 7306 0689  - Fax: (028) 5409 4257,10.843991,106.76257
PGD Bình Thạnh,"Tòa nhà HT Building, Số 132-134 Đường D2, Phường 25, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (0283) 512 5231  - Fax: (0283) 512 5231,10.804104,106.71592
CN Gia Định,"Tòa nhà Hà Phan 1119 Trần hưng Đạo, Phường 5, Quận 5, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (0283) 628 2868  - Fax: (0283) 628 2868,10.753252,106.67095
PGD Khu Nam,"Số 39 đường 9A Khu dân cư Trung Sơn, Xã Bình Hưng, Huyện Bình Chánh, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 7302 6869,10.738353,106.689766
PGD Chợ Lớn (PGD Bình Phú cũ),"454-456 Hồng Bàng, phường 16, Quận 11, Thành phố Hồ Chí Minh, Việt Nam",Tel: (028) 36 283 848  - Fax: (028) 54 342 310,10.75389,106.64866
PGD Tân Bình,"151 - 153 đường Nguyễn Hồng Đào, Phường 14, Quận Tân Bình, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (0283) 629 4499  - Fax: (0283) 629 4499,10.795151,106.64247
PGD Tạ Uyên,"742 -744 Nguyễn Chí Thanh, Phường 4, Quận 11, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (0285) 405 2052  - Fax: (0285) 405 2052,10.757363,106.65566
PGD Trương Định,"179 Nguyễn Cư Trinh, Phường Nguyễn Cư Trinh, Quận 1, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 38 385 132  - Fax: (028) 38 385 135,10.75861,106.68449
PGD Trường Sơn (Bình Thới cũ),"Tòa nhà Thép Toàn Thắng, Số 8A-10A, đường Trường Sơn, Phường 3, Quận Tân Bình, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (0283) 975 5765  - Fax: (0283) 975 5765,10.807456,106.66494
CN Long An,"112-114-116 đường Nguyễn Văn Tiếp, khu phố 3, thị trấn Bến Lức, huyện Bến Lức, tỉnh Long An, Việt Nam",Tel: (0272) 363 0336  - Fax: (0272) 363 0336,10.640715,106.48376
PGD Long Hậu,"Số MB 101, TTDV KCN Long Hậu, đường Long Hậu-Hiệp Phước, Xã Long Hậu, Huyện Cần Giuộc, Tỉnh Long An, Việt Nam",Tel: (﻿0283) 873 4245  - Fax: (028) 3873 4246,10.638036,106.713356
PGD Tầm Vu,"Số 262 đường Đỗ Tường Phong, Khóm 1, thị trấn Tầm Vu, Huyện Châu Thành , Tỉnh Long An, Việt Nam",Tel: (0272) 390 8188  - Fax: (0272) 390 8188,10.44305,106.4678
PGD Đức Hòa,"Số 162C đường tỉnh 8241, khu Phố 3, Thị trấn Đức Hòa, Huyện Đức Hòa, Tỉnh Long An, Việt Nam",Tel: (0272) 390 8488  - Fax: (0272) 363 9395,10.823413,106.45686
CN Cần Thơ,"162-162b Đường Trần Hưng Đạo, phường An Nghiệp, quận Ninh Kiều, thành phố Cần Thơ, Việt Nam",Tel: (0710)3734250  - Fax: (0710)3734251,10.036609,105.77576
PGD Thốt Nốt (PGD Tân An cũ),"262 Quốc lộ 91, phường Thốt Nốt, quận Thốt Nốt, thành phố Cần Thơ, Việt Nam",Tel: (0292) 361 2931  - Fax: (0292) 361 2930,10.270354,105.53231
PGD Ninh Kiều,"Số 81A-81B-83 Nguyễn Trãi, P. Tân An, Quận Ninh Kiều, Thành phố Cần Thơ",Tel: (0292)3783041  - Fax: (0292)3783042,10.040269,105.78499
PGD Ô Môn,"Khu vực 4, đường 26 tháng 3, phường Châu Văn Liêm, Quận Ô Môn, Thành Phố Cần Thơ, Việt Nam",Tel: (0292) 390 8866  - Fax: (0292) 390 8866,10.11022,105.619865
CN An Giang,"217 Lý Thái Tổ, tổ 5, nhóm 7, Phường Mỹ Long, Thành Phố Long Xuyên, Tỉnh An Giang, Việt Nam",Tel: (0296) 390 8088  - Fax: (0296) 394 9588,10.377893,105.440094
PGD Châu Đốc,"163-165 Lê Lợi, tổ 17, Khóm Châu Long, Phường Châu Phú B, Thành Phố Châu Đốc, Tỉnh An Giang, Việt Nam",Tel: (0296) 356 2889  - Fax: (0296) 356 2888,10.703175,105.13217
PGD Châu Phú,"Số 366 Quốc lộ 91, Tổ 12, ấp Bình Chánh, xã Bình Long, Huyện Châu Phú, Tỉnh An Giang, Việt Nam",Tel: (0296) 730 6868  - Fax: (0296) 367 6868,10.56809,105.242226
PGD Thoại Sơn,"Số 407 đường Nguyễn Huệ, Thị trấn Núi Sập, Huyện Thoại Sơn, Tỉnh An Giang, Việt Nam",Tel: (0296) 730 0088  - Fax: (0296) 373 8039,10.26736,105.26701
CN Bến Tre,"Số 72B1, Đại Lộ Đồng Khởi, KP4, phường Phú Khương, Thành Phố Bến Tre, Tỉnh Bến Tre, Việt Nam",Tel: (0275) 3696 888  - Fax: (0275) 3696 898,10.250368,106.37337
PGD Ba Tri,"Số 34 đường 19/5, Khu Phố 2, Thị trấn Ba Tri, Tỉnh Bến Tre",Tel: (0275) 3908 858  - Fax: (0275) 3761 762,10.0463,106.592384
PGD Mỏ Cày Bắc,"Số 67A, tỉnh lộ 882, ấp Phước Hậu, Xã Phước Mỹ Trung, Huyện Mỏ Cày Bắc, Tỉnh Bến Tre, Việt Nam",Tel: (0275) 3908 758  - Fax: (0275) 3839 090,10.196537,106.27088
CN Tiền Giang,"Số 262 , đường Ấp Bắc, Phường 5, TP. Mỹ Tho, tỉnh Tiền Giang",Tel: (0273) 390 8668  - Fax: (0273) 386 2268,10.369167,106.35294
CN Sóc Trăng,"179-179A Trần Hưng Đạo, Phường 3, Thành Phố Sóc Trăng, Tỉnh Sóc Trăng, Việt Nam",Tel: (0299) 390 9090  - Fax: (0299) 390 9090,9.594821,105.9679
PGD Châu Thành,"Số 327 ấp Trà Quýt A, Thị Trấn Châu Thành, Huyện Châu Thành, Tỉnh Sóc Trăng, Việt Nam",Tel: (0299) 3908 088  - Fax: (0299) 3858 588,9.676042,105.90125
PGD  Trần Đề,"Số 240 đường Nam Sông Hậu, ấp Đầu Gồng, thị trấn Trần Đề, Huyện Trần Đề, Tỉnh Sóc Trăng, Việt Nam",Tel: (0299) 390 9919  - Fax: (0299) 390 9919,9.313468,105.93803
PGD  Ngã Năm,"Số 27-29 đường Mai Thanh Thế, Khóm 1, Phường 1, Thị Xã Ngã Năm, Tỉnh Sóc Trăng, Việt Nam",Tel: (0299) 390 9939  - Fax: (0299) 390 9939,9.564385,105.59756
CN Đồng Tháp,"62-64 Lý Thường Kiệt, Phường 2, Thành Phố Cao Lãnh, Tỉnh Đồng Tháp, Việt Nam",Tel: (0277) 6250 505  - Fax: (0277) 6250 404,10.455897,105.635254
PGD Sa Đéc,"A8-10 đường Hùng Vương, Khóm 1, Phường 2, Thành Phố Sa Đéc, Tỉnh Đồng Tháp, Việt Nam",Tel: (0277) 3908 068  - Fax: (0277) 3918 068,10.290788,105.76717
PGD Tháp Mười,"Số 118 đường Hùng Vương, Khóm 4, Thị Trấn Mỹ An, Huyện Tháp Mười, Tỉnh Đồng Tháp, Việt Nam",Tel: (0277) 3908 966  - Fax: (0277) 6651 069,10.518541,105.843834
PGD Hồng Ngự,"Số 85-87 đường Lê Hồng Phong, Phường An Thạnh, Thị xã Hồng Ngự, Tỉnh Đồng Tháp, Việt Nam",Tel: (0277) 3908 908  - Fax: (0277) 6561 089,10.808858,105.34358
CN Kiên Giang,"Lô A7-63+64 Ba Tháng Hai, Phường Vĩnh Bảo, Thành Phố Rạch Giá, Tỉnh Kiên Giang, Việt Nam",Tel: (0297) 366 8686  - Fax: (0297) 366 8687,10.001719,105.08097
PGD An Biên (Kiên Lương cũ),"Số 58B, tổ 1, Khu phố 5, thị trấn Thứ Ba, Huyện An Biên, Tỉnh Kiên Giang, Việt Nam",Tel: (0297) 390 9009  - Fax: (0297) 388 2868,9.823745,105.07199
PGD Minh Lương (Rạch Sỏi cũ),"Số 589, đường Quốc lộ 61, KP Minh Phú, TT Minh Lương, Huyện Châu Thành, Tỉnh Kiên Giang, Việt Nam",Tel: (0297) 390 9333  - Fax: (0297) 361 5368,9.907729,105.156944
PGD Phú Quốc,"Số 50, đường 30/4, khu phố 1, phường Dương Đông, TP Phú Quốc, Tỉnh Kiên Giang, Việt Nam",Tel: (0297) 730 6368  - Fax: (0297) 368 1819,10.213949,103.963295
CN Vĩnh Long,"Số 138 Phạm Thái Bường, Khóm 1, Phường 4, Thành Phố Vĩnh Long, Tỉnh Vĩnh Long, Việt Nam",Tel: (0270) 383 8886  - Fax: (0270) 383 8881,10.244344,105.97587
PGD Vũng Liêm,"Số 160N, Đường Nam Kỳ Khởi Nghĩa, Khóm 2, Thị Trấn Vũng Liêm, Huyện Vũng Liêm, Tỉnh Vĩnh Long, Việt Nam",Tel: (0270) 390 8808  - Fax: (0270) 390 8808,10.095531,106.18565
PGD Tam Bình (Mỹ Thuận cũ),"Số 24 đường Phan Văn Đáng, Khóm 1, Thị trấn Tam Bình, Huyện Tam Bình, Tỉnh Vĩnh Long, Việt Nam",Tel: (0270) 390 8668  - Fax: (0270) 371 4888,10.047831,105.99924
CN Cà Mau,"138A -138B Ngô Quyền, Phường 9, Thành Phố Cà Mau, Tỉnh Cà Mau, Việt Nam",Tel: (0290) 3641 999  - Fax: (0290) 3641 997,9.183104,105.1414
PGD Minh Hải (Sông Đốc cũ),"Số 66 đường Trần Hưng Đạo, phường 5, Thành Phố Cà Mau, Tỉnh Cà Mau",Tel: (0290) 3908 908  - Fax: (0290) 3912 666,9.18005,105.15718
PGD Tắc  Vân (Minh Hải cũ),"Số 666 đường Quốc lộ 1A, xã Tắc Vân, Thành Phố Cà Mau, Tỉnh Cà Mau",Tel: (0290) 730 5599  - Fax: (0290) 369 9090,9.17451,105.27762
PGD Năm Căn,"Số 221 đường Hùng Vương, khóm 7, thị trấn Năm Căn, Huyện Năm Căn, Tỉnh Cà Mau",Tel: (0290) 390 8008  - Fax: (0290) 390 8008,8.759327,104.99349
CN Bình Dương,"558 Đại Lộ Bình Dương, Thành Phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam",Tel: (0650)3872861  - Fax: (0650)3872860,10.992393,106.65903
PGD Dĩ An,"90 đường Dĩ An-Truông Tre, Khu Phố Bình Minh 2, Phường Dĩ An, Huyện Dĩ An, Tỉnh Bình Dương, Việt Nam",Tel: (0274) 379 6077  - Fax: (0274) 379 6078,10.895549,106.76107
PGD Bến Cát (Sở Sao cũ),"Lô C, Ô số 1, KDC Mỹ Phước 4 - Khu A, phường Mỹ Phước, thị xã Bến Cát, tỉnh Bình Dương, Việt Nam",Tel: (0274)7303366  - Fax: (0274)3554546,11.148853,106.61145
PGD Thủ Dầu Một,"Lô B, ô 1 và ô 2, KP chợ Đinh Bộ Lĩnh, Phường Phú Cường, Thành Phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam",Tel:  (0274) 387 8090  - Fax: (0274) 387 8086,10.97875,106.648674
PGD Bình An,"Thửa đất số 4011, tờ bản đồ số 2BA.3, số vào sổ cấp GNN:CT03772, KP Nội Hóa 2, Phường Bình An, Thị Xã Dĩ An, Tỉnh Bình Dương, Việt Nam",Tel: (0274) 377 1933,10.90557,106.79419
PGD Bàu Bàng (Cổng Xanh-Phú Cường cũ),"Đường D1-5A tổ 14, ấp Đồng Sổ, Xã Lai Uyên, Huyện Bàu Bàng, Tỉnh Bình Dương, Việt Nam",Tel: (0274) 222 2333  - Fax: (0274) 222 2332,11.239189,106.63568
PGD Lái Thiêu,"Số 66 đường Nguyễn Văn Tiết, khu Phố Đông Tư, phường Lái Thiêu, Thị Xã Thuận An, Tỉnh Bình Dương, Việt Nam",Tel: (0274) 730 1188,10.990841,106.65454
CN Đồng Nai,"208D Phạm Văn Thuận, Phường Tân Tiến, Thành phố Biên Hòa, Tỉnh Đồng Nai, Việt Nam",Tel: (0251) 391 8371  - Fax: (0251) 391 8370,10.958014,106.838936
PGD Thanh Bình,"L1-3, L1-4 KDC Phú Gia, đường Nguyễn Khuyến, Thành Phố Biên Hòa, Tỉnh Ðồng Nai, Việt Nam",Tel: (0251) 394 0751  - Fax: (0251) 394 0750,10.949201,106.82048
PGD Amata (Long Bình Tân cũ),"50-52 Ðồng Khởi, KP.4, P. Tân Hiệp, Thành Phố Biên Hòa, Tỉnh Ðồng Nai, Việt Nam",Tel: (0251) 625 1009  - Fax: (0251) 625 1099,10.952693,106.870316
PGD Tân Biên,"388, Đường Nguyễn Ái Quốc, Khu Phố 9, Phường Hố Nai, Thành Phố Biên Hòa, Tỉnh Ðồng Nai, Việt Nam",Tel: (0251)3882550  - Fax: (0251)3882551,10.9726,106.8835
PGD Tân Hiệp,"433-435 Đường Đồng Khởi, Tân Hiệp, Thành Phố Biên Hòa, Tỉnh Ðồng Nai, Việt Nam",Tel: (0251) 887 1422  - Fax: (0251) 887 1272,10.965224,106.85417
PGD Hố Nai,"A3-A8, quốc lộ 1A, khu phố 5B, phường Tân Biên, Thành phố Biên Hòa, Tỉnh Đồng Nai, Việt Nam",Tel: (0251) 388 1480  - Fax: (0251) 388 3598,10.967562,106.888405
PGD Tam Hiệp,"151/2 KP4, Tam Hiệp, Thành Phố Biên Hòa, Tỉnh Đồng Nai, Việt Nam",Tel: (0251) 882 2502  - Fax: (0251) 882 2501,10.950617,106.83435
PGD Long Khánh (Xuân Hòa cũ),"520 Hùng Vương, Phường Xuân Hòa, Thị xã Long Khánh, Tỉnh Đồng Nai, Việt Nam",Tel: (0251) 387 7917  - Fax:  (0251) 378 2428,10.92543,107.240746
PGD Trảng Bom,"B4, B5 - Khu nhà ở Bắc, Huyện Trảng Bom, Tỉnh Đồng Nai, Việt Nam",Tel: (0251) 367 5133  - Fax: (0251) 367 5129,10.951541,107.01262
PGD Quang Vinh,"19/1 ấp Đồng Nai, Xã Hóa An, Thành Phố Biên Hòa, Tỉnh Ðồng Nai, Việt Nam",Tel: (0251) 395 7166  - Fax: (0251) 385 9624,10.938856,106.81205
CN SGD Đồng Nai,"294-296 Khu Phố 1, Cách Mạng Tháng Tám, Quang Vinh, Thành Phố Biên Hòa, Tỉnh Ðồng Nai, Việt Nam",Tel: (0251) 384 0376  - Fax: (0251) 394 2524,10.948364,106.815216
PGD Quyết Thắng,"Tầng trệt, Block B, Cao ốc Pegasus Plaza, số 53-55, đường Võ Thị Sáu, Phường Quyết Thắng, Thành Phố Biên Hòa, Tỉnh Ðồng Nai, Việt Nam",Tel: ( 0251) 384 0377  - Fax: (0251) 394 3860,10.946824,106.82515
PGD Bửu Long,"3/6C, KP2, Bửu Long, Thành Phố Biên Hòa, Tỉnh Ðồng Nai, Việt Nam",Tel: (0251) 885 0902  - Fax: (0251) 885 0906,10.954618,106.79631
PGD Tân Phong,"348C Nguyễn Ái Quốc, phường Tân Tiến, Thành Phố Biên Hòa, Tỉnh Đồng Nai",Tel: (0251) 394 0592  - Fax: (0251) 394 0591,10.963081,106.83867
PGD Tân Mai,"1/20 tổ 3, KP7, Tân Mai, Thành Phố Biên Hòa, Tỉnh Ðồng Nai, Việt Nam",Tel: (0251) 882 2502  - Fax: (0251) 882 2501,10.954621,106.852234
PGD Bình Sơn (Đồng Khởi cũ),"Đường DT769, ấp 8, xã Bình Sơn, Huyện Long Thành, Tỉnh Ðồng Nai, Việt Nam",Tel: (0251) 394 3132  - Fax: (0251) 394 3132,10.795231,107.00935
PGD Thạnh Phú,"459A, tỉnh lộ 768, ấp 1, xã Thạnh Phú, Huyện Vĩnh Cửu, Tỉnh Đồng Nai, Việt Nam",Tel: (0251) 386 5950  - Fax: (0251) 386 5950,11.01158,106.84355
PGD Tân Hòa,"58/1 - 60/1 Quốc lộ 1A, khu phố 2, phường Tân Hòa, Thành Phố Biên Hòa,  Tỉnh Đồng Nai, Việt Nam",Tel: (0251) 825 3562  - Fax: (0251) 888 0413,10.968136,106.90568
PGD Vĩnh An,"Khu phố 5, thị trấn Vĩnh An, TT. Vĩnh An, Huyện Vĩnh Cửu,  Tỉnh Đồng Nai, Việt Nam",Tel: (0251) 3960 873  - Fax: (0251) 396 0873,11.086492,107.03361
PGD Tam Phước,"246B Long Đức 1, Tam Phước, Huyện Long Thành,  Tỉnh Đồng Nai, Việt Nam",Tel: (0251) 351 3266  - Fax: (0251) 3 513 131,10.853673,106.93009
PGD Long Bình,"351 Quốc lộ 51, khu phố 1, phường Long Bình Tân, Thành phố Biên Hòa, Tỉnh Đồng Nai, Việt Nam",Tel: (0251) 383 6184  - Fax: (0251) 383 6184,10.895478,106.87548
PGD Nhơn Trạch,"Số 357, đường Hùng Vương, Ấp 3, xã Hiệp Phước, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",Tel: (0251) 354 8969  - Fax:  (0251) 354 8966,10.741976,106.94559
