Name,Tag,Address,Phone,Latitude,Longitude
VPBank Sóc Trăng CDM,ATM-24/7,"38-40-40A Trần Hưng Đạo, Khóm 2, Phường 2, Thành Phố Sóc Trăng, Tỉnh Sóc Trăng",null,9.595227,105.969894
Công ty TNHH YG VINA I,ATM-24/7,"LO 2,KCN Gian Khẩu,Gia Viễn, Ninh Bình",null,20.3401718,105.9281859
Công ty J.Young- Đông Thạnh,ATM-24/7,"Hương Lộ 80B, ấp 4, Xã Đông Thạnh, huyện Hóc Môn, Thành Phố Hồ chí Minh",null,10.9006022,106.644621
VPBank Phú Xuân CDM,ATM-24/7,"101-101A Huỳnh Tấn Phát, huyện Nhà Bè, TP.Hồ Chí Minh",null,10.7002657,106.7385798
VPBank Bỉm Sơn CDM,ATM-24/7,"Số 18 đường Nguyễn Huệ, phường Ngọc Trạo, Thị xã Bỉm sơn, tỉnh Thanh Hóa",null,20.0848305,105.8571719
VPBank Sông Lam,ATM-24/7,"Shophouse LK1-10, dự án đầu tư xây dựng Khu nhà ở thấp tầng Trường Thịnh Phát, Khối Yên Sơn, phường Hà Huy Tập, Thành Phố Vinh, tỉnh Nghệ An",null,18.692662,105.689056
VPBank Chương Dương CDM,ATM-24/7,"562, Nguyễn Văn Cừ, phường Gia Thụy, quận Long Biên, Hà Nội",null,21.049556,105.8838507
VPBank Thái Nguyên CDM,ATM-24/7,"Số 631, đường Lương Ngọc Quyến, phường Phan Đình Phùng, thành phố Thái Nguyên, tỉnh Thái Nguyên",null,21.587916,105.8309401
VPBank Nghệ An CDM,ATM-24/7,"Nhà A Khu Thương mại thành phố Vinh, tỉnh Nghệ An",null,18.6707564,105.6742798
VPBank Hoàng Hoa Thám CDM,ATM-24/7,"26 Hoàng Hoa Thám, Q.Tân Bình, TP Hồ Chí Minh",null,10.7976633,106.6471859
VPBank Thanh Xuân CDM,ATM-24/7,"Tòa nhà Housinco Tân Triều, lô Ct5, KĐT Tây Nam Kim Giang I, Xã Tân Triều, Huyện Thanh Trì, TP Hà Nội",null,20.98295,105.80894
Công ty CP Dgwin Việt Nam,ATM-24/7,"Xã Thọ Nguyên, huyện Thọ Xương, tỉnh Thanh Hóa",null,19.9047272,105.3921656
VPBank Cộng Hòa,ATM-24/7,"19C Cộng Hòa, Q.Tân Bình, TP Hồ Chí Minh",null,10.801562,106.650261
VPBank Thanh Trì CDM,ATM-24/7,"TT3-01 và TT3-02, Tòa chung cư IEC, đường Vũ Lăng, xã Tứ Hiệp, huyện Thanh Trì, Hà Nội",null,20.940649,105.849167
VPBank Bình Chánh CDM,ATM-24/7,"Số D6/5 Quốc Lộ 1A, ấp 2, Xã Bình Chánh, Huyện Bình Chánh, TP HCM",null,10.666403,106.572054
Công ty May Hồ Gươm 09,ATM,"Ngã Ba Thọ Phú, xã Kiên Thọ, huyện Ngọc Lặc, tỉnh Thanh Hóa",null,19.948150,105.402964
Công ty May Văn Phú II,ATM-24/7,"Thôn Phong Lai 1, xã Văn Phú, huyện Nho Quan, Tỉnh Ninh Bình",null,20.2596633,105.7662848
VPBank Thanh Oai CDM,ATM-24/7,"256-258 tổ 3, Phố Kim Bài, Thị trấn Kim Bài, Huyện  Thanh Oai, Thành phố Hà Nội",null,20.85029,105.76934
Công ty TNHH DEAHAN,ATM-24/7,"Thôn 6, xã Hoằng Kim, huyện Hoằng Hóa, tỉnh Thanh Hóa",null,19.907063,105.812289
VPBank Đội Cung CDM,ATM-24/7,"Số 113, đường Trường Chinh, phường Lê Lợi, thành phố Vinh, tỉnh Nghệ An",null,18.6811226,105.6649147
Công ty TNHH may XK DHA,ATM,"Xã Bích Hòa, huyện Thanh Oai, Hà Nội",null,20.9170698,105.7644596
VPBank Nam Thăng Long,ATM,"Lô số 4, khu thương mại thấp tầng (Shophouse CT-17), khu đô thị Nam Thăng Long, phường Xuân La, quận Tây Hồ, Hà Nội",null,20.963182,105.766417
VPBank Thạch Thất CDM,ATM-24/7,"Số 9, đường 419, thôn Vĩnh Lộc, xã Phùng Xá, huyện Thạch Thất, Hà Nội.",null,21.01392,105.617859
VPBank Âu Cơ CDM,ATM-24/7,"109 Nghi Tàm, Yên Phụ, quận Tây Hồ, Hà Nội",null,21.053488,105.837504
VPBank Lê Văn Sỹ,ATM-24/7,"288-290 Lê Văn Sỹ, Q.3, TP Hồ Chí Minh",null,10.7870139,106.679744
VPBank Sơn Tây,ATM-24/7,"Số 354 đường Chùa Thông, phường Sơn Lộc,Thị xã Sơn Tây, Hà Nội",null,21.126721,105.502857
VPBank Sóc Sơn CDM,ATM-24/7,"Số 11-12 khu A, KĐT Mới, TT Sóc Sơn, huyện Sóc Sơn, Hà Nội.",null,21.260443,105.849939
VPBank Lê Văn Sỹ CDM,ATM-24/7,"288-290 Lê Văn Sỹ, quận 3, TP.Hồ Chí Minh",null,10.7870139,106.679744
Công ty CP Tràng An,ATM-24/7,"KCN Thạch Thất, Quốc Oai, Hà Nội",null,21.0064757,105.6310474
VPBank Nguyễn Thiện Thuật CDM,ATM-24/7,"299-301 Nguyễn Thiện Thuật, Q.3, TP Hồ Chí Minh",null,10.7697235,106.6775725
VPBank Trần Duy Hưng CDM,ATM-24/7,"Tầng 1, Tòa nhà số S4.03 Khu đô thị Vinhomes Smart City, Tây Mỗ, Hà nội.",null,21.011464,105.785935
VPBank Quận 3,ATM-24/7,"63 Phạm Ngọc Thạch, Phường Võ Thị Sáu, Quận 3, TP Hồ Chí Minh",null,10.786407,106.6918260
VPBank Hải Dương CDM,CDM,"11 Trần Hưng Đạo, thành phố Hải Dương, tỉnh Hải Dương",null,20.938015,106.3388869
VPBank Linh Đàm CDM II,ATM-24/7,"BT1 - Ô 18 Bắc Linh Đàm, Hoàng Mai, Hà Nội",null,20.9677453,105.8265847
VPBank Hải Dương,ATM-24/7,"11 Trần Hưng Đạo, phường Trần Hưng Đạo, TP Hải Dương",null,20.938015,106.3388869
VPBank Linh Đàm CDM,ATM-24/7,"BT1 - Ô 18 Bắc Linh Đàm, Hoàng Mai, Hà Nội",null,20.9677453,105.8265847
Công ty May Việt Trí,ATM-24/7,"Thôn Đông La, xã Hồng Quang, huyện Thanh Miên, Hải Dương",null,20.8048568,106.1766366
Công ty TNHH YA-AJM Việt Nam,ATM-24/7,"Cụm CN An Đồng, xã An Đồng, Nam Sách, Hải Dương",null,20.995464,106.3346061
VPBank Định Công CDM,ATM-24/7,"55 Trần Nguyên Đán, Định Công, Hoàng Mai, Hà Nội",null,20.9862594,105.8332166
Công ty An Phát,ATM-24/7,"Lô CN 11-12, Cụm CN An Đồng, xã An Đồng Nam Sách, Hải Dương",null,21.0270628,106.3588886
Toà nhà Nam Đô CDM,ATM-24/7,"609 Trương Định, Hoàng Mai, Hà Nội",null,20.9793732,105.8447903
Công ty TNHH Giày Việt Hảo,ATM-24/7,"Thôn Quỳnh Khuê, xã Kim Xuyên, huyện Kim Thành, tỉnh Hải Dương",null,20.974673,106.482323
Pháp Vân CDM,ATM-24/7,"SOUTH BUILDING, KĐT Pháp Vân, phường Từ Hiệp, quận Hoàng Mai, Hà Nội",null,20.9561981,105.8468721
VPBank Chí Linh CDM,ATM-24/7,"251 Nguyễn Trãi, phường Sao Đỏ, thành phố Chí Linh, tỉnh Hải Dương",null,21.06373,106.23203
Khu đô thị Gamuda CDM,ATM-24/7,"Tầng 1 BT08, Đường 2.5 KĐT Gamuda, phường Trần Phú, quận Hoàng Mai, Hà Nội",null,20.9702217,105.8787415
Công ty Venture,ATM,"Km40, QL5, thị trấn Lai Cách, huyện Cẩm Giàng, tỉnh Hải Dương",null,20.9340107,106.254984
HH1C Linh Đàm,ATM-24/7,"HH1C Linh Đàm, Hoàng Mai, Hà Nội",null,20.9647451,105.8267473
VPBank Thành Sen,ATM-24/7,"Số 63, đường Nguyễn Chí Thanh, phường Tân Giang, thành phố Hà Tĩnh, tỉnh Hà Tĩnh",null,18.3382014,105.9053331
Công ty TNHH Molex Việt Nam,ATM,"P-15, KCN Thăng Long, Xã Kim Chung, huyện Đông Anh, Hà Nội",null,21.112491,105.764121
VPBank Nguyễn Du,ATM-24/7,"Số 214, đường Nguyễn Công Trứ, phường Bắc Hà, thành phố Hà Tĩnh, tỉnh Hà Tĩnh",null,18.346753,105.902464
Công ty Panasonic II,ATM,"Lô J1/J2, Khu CN Thăng Long, huyện Đông Anh, Hà Nội",null,21.1096592,105.7842673
VPBank Hồng Lĩnh,ATM-24/7,"Số 101 đường Trần Phú, phường Nam Hồng, thị xã Hồng Lĩnh, tỉnh Hà Tĩnh",null,18.5244601,105.7028457
VPBank Hà Tĩnh CDM,ATM-24/7,"Số 17, đường Trần Phú, phường Trần Phú, thành phố Hà Tĩnh, tỉnh Hà Tĩnh",null,18.3395963,105.8943328
VPBank Phùng,ATM-24/7,"Số 228 Tây Sơn, TT. Phùng, H. Đan Phương, Hà Nội",null,21.084054,105.670530
VPBank Hà Tĩnh,ATM-24/7,"Số 17, đường Trần Phú, phường Trần Phú, thành phố Hà Tĩnh, tỉnh Hà Tĩnh",null,18.3395963,105.8943328
Trường TCCS Vũ Trang,ATM,"xã Thủy Xuân Tiên, huyện Chương Mỹ, Hà Nội",null,20.8887229,105.5776769
VPBank Mỹ Đức CDM,ATM-24/7,"148-150 Đường Đại Nghĩa, Thị Trấn Đại Nghĩa, Huyện Mỹ Đức, Thành Phố Hà Nội",null,20.68485,105.74246
Công ty TNHH May Xuất Khẩu Đại Nghĩa,ATM,"Thôn Thọ Sơn, thị trấn Đại Nghĩa, huyện Mỹ Đức, Hà Nội",null,20.6784449,105.7497489
Sân Golf Skylake,ATM-24/7,"Khu vực Hồ Văn Sơn, Chương Mỹ, Hà Nội",null,20.8342308,105.6192157
Nhà máy Thuận Hưng - Woodsland,ATM-24/7,"Lô 49K,KCN Quang Minh, Mê Linh, Hà Nội",null,21.1856191,105.7792521
VPBank Thụy Khuê CDM,ATM-24/7,"Số 251U+251T+251V đường Thụy Khuê, phường Thụy Khuê, Quận Tây Hồ, Hà Nội",null,21.0434838,105.818944
VPBank Long Biên CDM,ATM-24/7,"3 Nguyễn Sơn, quận Long Biên, Hà Nội",null,21.0482033,105.8754426
HH1B Linh Đàm,ATM-24/7,"HH1B Linh Đàm, Hoàng Mai, Hà Nội",null,20.9634603,105.8257732
VPBank Sầm Sơn,ATM-24/7,"Số 47, Đường Nguyễn Du, phường Trường Sơn, Thị xã Sầm Sơn, tỉnh Thanh Hóa",null,19.7343386,105.8980136
VPBank Bùi Hữu Nghĩa CDM,ATM-24/7,"474A Trần Hưng Đạo, Q.5, TP Hồ Chí Minh",null,10.7536879,106.6617835
VPBank Sầm Sơn CDM,ATM-24/7,"Số 47, Đường Nguyễn Du, phường Trường Sơn, Thị xã Sầm Sơn, tỉnh Thanh Hóa",null,19.7343386,105.8980136
Công ty Viexim Hưng Yên,ATM-24/7,"Thôn Hảo, xã Liêu Xá, huyện Yên Mỹ, tỉnh Hưng Yên",null,20.922114,106.058199
Công ty Speed Motion Việt Nam,ATM,"Thôn Phong Cốc, xã Xuân Minh, huyện Thọ Xuân, tỉnh Thanh Hóa",null,19.953515,105.550551
VPBank Như Quỳnh CDM,ATM-24/7,"Số 12 đường số 1 Như Quỳnh Center, Thị Trấn Như Quỳnh, Văn Lâm, Hưng Yên",null,20.982246,105.98301
Bưu điện bãi Chạo,ATM-24/7,"xóm Bãi Chạo, xã Tú Sơn, huyện Kim Bôi, Hòa Bình",null,20.7382699,105.4071576
VPBank Văn Giang CDM,ATM-24/7,"Khu biệt thự Thủy Nguyên, MRA-185A, xã Phụng Công, huyện Văn Giang, tỉnh Hưng Yên",null,20.948631,105.934369
VPBank Bàu Cát CDM,ATM-24/7,"33 Trương Công Định, phường 14, Tân Bình, TP Hồ Chí Minh",null,10.7963019,106.6412972
Công ty kết cấu thép 568,ATM,"Km 33 Quốc Lộ 5, xã Minh Đức, huyện Mỹ Hào, tỉnh Hưng Yên",null,20.9214323,106.1374579
VPBank Yên Lạc CDM,ATM-24/7,"Số 103, Đường Nguyễn Khoan, Thị Trấn Yên Lạc, Huyện Yên Lạc, Vĩnh Phúc",null,21.235801,105.573253
Pico Plaza,ATM-24/7,"20 Cộng Hòa, P.4, Q.Tân Bình, TP Hồ Chí Minh",null,10.8005781,106.6531323
VPBank Quảng Trị CDM,ATM-24/7,"38 QL9, Phường 1, thành phố Đông Hà, tỉnh Quảng Trị",null,"16,817521","107,086597"
Công ty Tài chính FE CDM,CDM,"144 Cộng Hòa, P12, quận Tân Bình, TP.Hồ Chí Minh",null,10.8019171,106.6522494
Tòa nhà REE,ATM,"9 Đoàn Văn Bơ, quận 4, TP.Hồ Chí Minh",null,10.764686,106.7023569
Công ty Tài Chính FE,ATM-24/7,"144 Cộng Hòa, P12, quận Tân Bình, TP Hồ Chí Minh",null,10.8019171,106.6522494
Tòa nhà H3,ATM,"384 Hoàng Diệu, phường 6, quận 4, TP. Hồ Chí Minh",null,10.7601978,106.6989601
Cộng Hòa 5,ATM,"19C Cộng Hòa, phường 12, Q.Tân Bình, TP Hồ Chí Minh",null,10.801562,106.650261
Tòa nhà COPAC,ATM-24/7,"12 Tôn Đản, Q.4, TP Hồ Chí Minh",null,10.7624538,106.7075238
Cộng Hòa 4,ATM,"19C Cộng Hòa, phường 12, Q.Tân Bình, TP Hồ Chí Minh",null,10.801562,106.650261
Chung cư Khánh Hội 2 CDM,ATM-24/7,"360A Bến Vân Đồn, Phường 1, Quận 4, Thành phố Hồ Chí Minh",null,10.7560357,106.6906566
Cộng Hòa 3,ATM,"19C Cộng Hòa, phường 12, Q.Tân Bình, TP Hồ Chí Minh",null,10.801562,106.650261
VPBank Quận 3 CDM,ATM-24/7,"63 Phạm Ngọc Thạch, Phường Võ Thị Sáu, Quận 3, TP Hồ Chí Minh",null,10.786407,106.6918260
VPBank Trần Não CDM,ATM-24/7,"188 -190 Trần Não, Phường An Khánh, TP.Thủ Đức, TP. Hồ Chí Minh",null,10.790368,106.730193
Công ty Y Khoa Việt,ATM-24/7,"Lô 01-8A, Cụm Công Nghiệp Hai Bà Trưng, phường Hoàng Văn Thụ, quận Hoàng Mai, Hà Nội",null,20.9833274,105.8663575
VPBank Trần Não,ATM-24/7,"188 -190 Trần Não, Phường An Khánh, TP.Thủ Đức, TP. Hồ Chí Minh",null,10.790368,106.730193
VPBank Gang Thép CDM,ATM-24/7,"Số 542-544, đường Cách mạng Tháng Tám, tổ 12, phường Trung Thành, thành phố Thái Nguyên, tỉnh Thái Nguyên",null,21.5458161,105.8707122
VPBank Thủ Đức CDM,ATM-24/7,"100C Đặng Văn Bi, khu phố 2, phường Bình Thọ, TP. Thủ Đức, TP Hồ Chí Minh",null,10.843883,106.762408
Công ty CP May Hưng Thành,ATM-24/7,"Xã Tân Cương, thành phố Thái Nguyên, Thái Nguyên",null,21.5316194,105.7884918
VPBank Thủ Đức,ATM-24/7,"100C Đặng Văn Bi, khu phố 2, phường Bình Thọ, TP. Thủ Đức, TP Hồ Chí Minh",null,10.843883,106.762408
VPBank Sông Công CDM,ATM-24/7,"Số 194 đường Cách mạng tháng 8, tổ 11, phường Thắng Lợi, thành phố Sông Công, tỉnh Thái Nguyên",null,21.46795,105.84531
VPBank Thảo Điền CDM,ATM-24/7,"57 Quốc Hương, Phường Thảo Điền, Thành phố Thủ Đức, TP Hồ Chí Minh",null,10.806654,106.730988
VPBank Thường Tín CDM,ATM-24/7,"Xã Văn Bình, huyện Thường Tín, thành phố Hà Nội.",null,20.871799,105.867801
VPBank Cộng Hòa CDM,ATM-24/7,"19C Cộng Hòa, Q.Tân Bình, TP Hồ Chí Minh",null,10.801562,106.650261
VPBank Thường Tín,ATM-24/7,"Xã Văn Bình, huyện Thường Tín, Hà Nội",null,20.8935787,105.8573536
VPBank Thảo Điền,ATM-24/7,"57 Quốc Hương, Phường Thảo Điền, Thành phố Thủ Đức, TP Hồ Chí Minh",null,10.806654,106.730988
VPBank Cần Giờ CDM,ATM-24/7,"209A Đào Cử, Thị trấn Cần Thạnh, Huyện Cần Giờ, TP Hồ Chí Minh",null,10.411599,106.966735
VPBank Lê Văn Việt,ATM-24/7,"304 Lê Văn Việt, P. Tăng Nhơn Phú B, TP. Thủ Đức, TP. Hồ Chí Minh",null,10.844417,106.785031
VPBank Văn Thánh CDM,ATM-24/7,"68 - 70 Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh, TP.Hồ Chí Minh",null,10.8019035,106.7154733
Vinhomes Grand Park CDM,ATM-24/7,"Shophouse số: 01S10 Sảnh S3.02, Phường Long Thạnh Mỹ, Tp.Thủ Đức, TP Hồ Chí Minh",null,10.839612,106.834305
VPBank Nơ Trang Long CDM,ATM-24/7,"151 Nơ Trang Long, P12, Q.Bình Thạnh, TP Hồ Chí Minh",null,10.8132337,106.6966565
Nguyễn Thị Định CDM,ATM-24/7,"611 Nguyễn Thị Định, Phường Cát Lái, TP Thủ Đức, TP Hồ Chí Minh",null,10.7760967,106.7664262
VPBank Nơ Trang Long,ATM-24/7,"151 Nơ Trang Long, P12, Q.Bình Thạnh, TP Hồ Chí Minh",null,10.8132337,106.6966565
VPBank Nam Từ Liêm CDM,ATM-24/7,"292 Hồ Tùng Mậu, phường Phú Diễn, quận Bắc Từ Liêm, Hà Nội",null,21.041635,105.762144
VPBank Đông Sài Gòn CDM,ATM-24/7,"Tầng trệt và tầng 1 của nhà số P6-SH.10 thuộc nhà Chung cư Park 6 – phường 22, Quận Bình Thạnh, TP Hồ Chí Minh",null,10.7921907,106.7190411
VPBank Trần Phú CDM,ATM-24/7,"83 Trần Phú, phường Trần Hưng Đạo, thành phố Thái Bình, tỉnh Thái Bình",null,20.4428122,106.3329356
VPBank Quang Trung,ATM-24/7,"Số 184 Quang Trung, phường Phạm Hồng Thái, Quận Hồng Bàng, thành phố Hải Phòng",null,20.8552058,106.6726813
VPBank Trần Lãm CDM,ATM-24/7,"588 Lý Bôn, phường Kỳ Bá, thành phố Thái Bình, tỉnh Thái Bình",null,20.4402779,106.3397672
VPBank Hải An CDM,ATM-24/7,"346 Văn Cao, phường Đằng Lâm, quận Hải An,thành phố Hải Phòng",null,20.8316249,106.7026052
Công ty Panasonic II,ATM,"Lô J1/J2, Khu CN Thăng Long, huyện Đông Anh, Hà Nội",null,21.1096592,105.7842673
Công ty Lucky Việt Nam II,ATM-24/7,"Khu Tiểu Trà, Hưng Đạo, quận Dương Kinh, thành phố Hải Phòng",null,20.7953821,106.689688
Xí nghiệp 11- Công ty CP Hồ Gươm,ATM,"Xóm Mường Lầm, Xã Phong Phú, Huyện Tân Lạc, Tỉnh Hòa Bình",null,20.61190,105.22418
Công ty Lucky Việt Nam I,ATM-24/7,"Khu Tiểu Trà, Hưng Đạo, quận Dương Kinh, thành phố Hải Phòng",null,20.7953821,106.689688
VPBank Lương Sơn CDM,ATM-24/7,"629 Trần Phú, tiểu khu 13, thị trấn Lương Sơn, huyện Lương Sơn, tỉnh Hòa Bình",null,20.871952,105.531973
Trường ĐH PCCC cơ sở 2,ATM,"Xã Hòa Xá, huyện Lương Sơn, tỉnh Hòa Bình",null,20.854269,105.5537714
Công ty TNHH Vỹ Lâm,ATM-24/7,"Cụm Công nghiệp An Lão, thị trấn An Lão, huyện An Lão, thành phố Hải Phòng",null,20.8255561,106.5474681
Công ty Transon II,ATM-24/7,"Khu CN Lương Sơn, xã Hòa Sơn, huyện Lương Sơn, Hòa Bình",null,20.8888134,105.5402879
Công ty TNHH MTV Ngọc Việt,ATM-24/7,"Thị trấn Vân Đình, huyện Ứng Hòa, Hà Nội",null,20.736517,105.76729
Công ty Transon I,ATM-24/7,"Khu CN Lương Sơn, xã Hòa Sơn, huyện Lương Sơn, Hòa Bình",null,20.8888134,105.5402879
VPBank Nguyễn Lương Bằng CDM,ATM-24/7,"205 Nguyễn Lương Bằng, phường Thanh Trung, Hải Dương",null,20.9369416,106.3102475
VPBank Lê Văn Việt CDM,ATM-24/7,"304 Lê Văn Việt, P. Tăng Nhơn Phú B, TP. Thủ Đức, TP. Hồ Chí Minh",null,10.844417,106.785031
VPBank Lê Hồng Phong CDM,ATM-24/7,"Thửa 13, Lô 22B, Khu đô thị mới Ngã Năm, Sân bay Cát Bi, phường Đông Khê, Quận Ngô Quyền,thành phố Hải Phòng",null,20.8477885,106.7069341
VPBank Bà Chiểu CDM,ATM-24/7,"341 Lê Quang Định, quận Bình Thạnh, TP.Hồ Chí Minh",null,10.8119058,106.6904901
VPBank Lê Hồng Phong,ATM-24/7,"Thửa 13, Lô 22B, Khu đô thị mới Ngã Năm, Sân bay Cát Bi, phường Đông Khê, Quận Ngô Quyền,thành phố Hải Phòng",null,20.8477885,106.7069341
Công ty TNHH Goshi Thăng Long,ATM,"KCN Sài Đồng A, quận Long Biên, Hà Nội",null,21.0302778,105.9191667
VPBank Lạch Tray CDM,ATM-24/7,"Số 276B Lạch Tray, phường Lạch Tray, quận Ngô Quyền, thành phố Hải Phòng",null,20.840743,106.6938359
VPBank Nam Hà Nội CDM,ATM-24/7,"18 ngõ 221 đường Giáp Bát, phường Giáp Bát, Hoàng Mai, Hà Nội",null,20.983874,105.844659
VPBank Hải Phòng CDM,ATM-24/7,"Số 31-33 Phạm Ngũ Lão, phường Lương Khánh Thiện, Quận Ngô Quyền, thành phố Hải Phòng",null,20.8568129,106.6867492
VPBank Phạm Văn Đồng CDM,ATM-24/7,"Căn hộ Vincom Shophouse Gardenia - Số B1-03+B1-05A, Đường Hàm Nghi, Q.Nam Từ Liêm, Hà Nội",null,21.0354584,105.7627312
VPBank Hải Phòng,ATM-24/7,"Số 31-33 Phạm Ngũ Lão, phường Lương Khánh Thiện, Quận Ngô Quyền, thành phố Hải Phòng",null,20.8568129,106.6867492
VPBank Lê Văn Lương CDM,ATM-24/7,"Tầng 1, Tòa nhà HCC1, Lê Văn Lương, phường Nhân Chính, quận Thanh Xuân, Hà Nội",null,21.002905,105.801717
VPBank Trần Nguyên Hãn CDM,CDM,"Số 170A đường Trần Nguyên Hãn, phường Trần Nguyên Hãn, quận Lê Chân, thành phố Hải Phòng",null,20.8479551,106.6714671
VPBank Bạch Đằng CDM,ATM-24/7,"104-106 Bạch Đằng, Q.Bình Thạnh, TP Hồ Chí Minh",null,10.803264,106.707902
VPBank Lê Chân CDM,ATM-24/7,"Số 230-232 Tô Hiệu, phường Trại Cau, Quận Lê Chân, thành phố Hải Phòng",null,20.850956,106.678312
Sông Hồng Hải Hậu I,ATM,"Xã Hải Phương, huyện Hải Hậu, tỉnh Nam Định",null,20.1649485,106.2784757
VPBank Lê Chân,ATM-24/7,"Số 230-232 Tô Hiệu, phường Trại Cau, Quận Lê Chân, thành phố Hải Phòng",null,20.850956,106.678312
VPBank Hòa Bình,ATM-24/7,"Số 681, đường Cù Chính Lan, phường Phương Lâm, thành phố Hòa Bình, tỉnh Hòa Bình",null,20.8177241,105.3367967
VPBank Kiến An CDM,ATM-24/7,"Số 125 Trần Thành Ngọ, phường Trần Thành Ngọ, Quận Kiến An, thành phố Hải Phòng",null,20.8103752,106.6257081
Công ty TNHH R Việt Nam,ATM-24/7,"Tổ 9, Lê Thánh Tông, thành phố Hòa Bình, tỉnh Hòa Bình",null,20.8293478,105.3433394
VPBank Kiến An 2,ATM-24/7,"Số 125 Trần Thành Ngọ, phường Trần Thành Ngọ, Quận Kiến An, thành phố Hải Phòng",null,20.8103752,106.6257081
Công ty TT Prosport 3,ATM,"Xóm 5, xã Hồng Thuận, huyện Giao Thủy, tỉnh Nam Định",null,20.2882670,106.4435319
VPBank Kiến An,ATM-24/7,"Số 125 Trần Thành Ngọ, phường Trần Thành Ngọ, Quận Kiến An, thành phố Hải Phòng",null,20.8103752,106.6257081
Công ty TT Pro Sport,ATM,"Khu 4A, thị trấn Ngô Đồng, huyện Giao Thủy, tỉnh Nam Định",null,20.28779,106.451662
Công ty TT Pro Sport,ATM,"Khu 4A, thị trấn Ngô Đồng, huyện Giao Thủy, tỉnh Nam Định",null,20.28779,106.451662
Khu đô thị Vạn Phúc CDM,ATM-24/7,"31 Nguyễn Thị Nhung, phường Hiệp Bình Phước,TP. Thủ Đức, TP Hồ Chí Minh",null,10.842237,106.714873
VPBank Thành Nam CDM,ATM-24/7,"Số 350 đường Trần Hưng Đạo, phường Bà Triệu, thành phố Nam Định",null,20.4304395,106.1726855
